##NAMES=Heterosite
##RRUFFID=R050165
##IDEAL CHEMISTRY=Fe^3+^PO_4_
##LOCALITY=White Elephant mine, Custer County, South Dakota, USA
##OWNER=RRUFF
##SOURCE=Marcus Origlieri
##DESCRIPTION=Purple massive
##DIFFRACTION SAMPLE DESCRIPTION=Single crystal, powder profile is calculated
##STATUS=The identification of this mineral is confirmed by single-crystal X-ray diffraction and chemical analysis.
##URL=rruff.info/R050165
##MEASURED CHEMISTRY=(Fe^3+^_0.68_Mn^3+^_0.32_)P_1.00_O_4_
##CELL PARAMETERS=a: 5.8299(6) b: 9.7658(8) c: 4.7824(3) alpha: 90 beta: 90 gamma: 90 volume: 272.28(6) crystal system: orthorhombic
5.000, 0.000
5.010, 0.000
5.020, 0.000
5.030, 0.000
5.040, 0.000
5.050, 0.000
5.060, 0.000
5.070, 0.000
5.080, 0.000
5.090, 0.000
5.100, 0.000
5.110, 0.000
5.120, 0.000
5.130, 0.000
5.140, 0.000
5.150, 0.000
5.160, 0.000
5.170, 0.000
5.180, 0.000
5.190, 0.000
5.200, 0.000
5.210, 0.000
5.220, 0.000
5.230, 0.000
5.240, 0.000
5.250, 0.000
5.260, 0.000
5.270, 0.000
5.280, 0.000
5.290, 0.000
5.300, 0.000
5.310, 0.000
5.320, 0.000
5.330, 0.000
5.340, 0.000
5.350, 0.000
5.360, 0.000
5.370, 0.000
5.380, 0.000
5.390, 0.000
5.400, 0.000
5.410, 0.000
5.420, 0.000
5.430, 0.000
5.440, 0.000
5.450, 0.000
5.460, 0.000
5.470, 0.000
5.480, 0.000
5.490, 0.000
5.500, 0.000
5.510, 0.000
5.520, 0.000
5.530, 0.000
5.540, 0.000
5.550, 0.000
5.560, 0.000
5.570, 0.000
5.580, 0.000
5.590, 0.000
5.600, 0.000
5.610, 0.000
5.620, 0.000
5.630, 0.000
5.640, 0.000
5.650, 0.000
5.660, 0.000
5.670, 0.000
5.680, 0.000
5.690, 0.000
5.700, 0.000
5.710, 0.000
5.720, 0.000
5.730, 0.000
5.740, 0.000
5.750, 0.000
5.760, 0.000
5.770, 0.000
5.780, 0.000
5.790, 0.000
5.800, 0.000
5.810, 0.000
5.820, 0.000
5.830, 0.000
5.840, 0.000
5.850, 0.000
5.860, 0.000
5.870, 0.000
5.880, 0.000
5.890, 0.000
5.900, 0.000
5.910, 0.000
5.920, 0.000
5.930, 0.000
5.940, 0.000
5.950, 0.000
5.960, 0.000
5.970, 0.000
5.980, 0.000
5.990, 0.000
6.000, 0.000
6.010, 0.000
6.020, 0.000
6.030, 0.000
6.040, 0.000
6.050, 0.000
6.060, 0.000
6.070, 0.000
6.080, 0.000
6.090, 0.000
6.100, 0.000
6.110, 0.000
6.120, 0.000
6.130, 0.000
6.140, 0.000
6.150, 0.000
6.160, 0.000
6.170, 0.000
6.180, 0.000
6.190, 0.000
6.200, 0.000
6.210, 0.000
6.220, 0.000
6.230, 0.000
6.240, 0.000
6.250, 0.000
6.260, 0.000
6.270, 0.000
6.280, 0.000
6.290, 0.000
6.300, 0.000
6.310, 0.000
6.320, 0.000
6.330, 0.000
6.340, 0.000
6.350, 0.000
6.360, 0.000
6.370, 0.000
6.380, 0.000
6.390, 0.000
6.400, 0.000
6.410, 0.000
6.420, 0.000
6.430, 0.000
6.440, 0.000
6.450, 0.000
6.460, 0.000
6.470, 0.000
6.480, 0.000
6.490, 0.000
6.500, 0.000
6.510, 0.000
6.520, 0.000
6.530, 0.000
6.540, 0.000
6.550, 0.000
6.560, 0.000
6.570, 0.000
6.580, 0.000
6.590, 0.000
6.600, 0.000
6.610, 0.000
6.620, 0.000
6.630, 0.000
6.640, 0.000
6.650, 0.000
6.660, 0.000
